name,source,type,cleaned_name,freq
Windows XP (Windows NT 5.1),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Windows XP,30356
Python,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Python,29691
Python,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Python,29691
SAS,https://en.wikipedia.org/wiki/List_of_programming_languages,language,SAS,28453
Lava,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lava,27816
Hume,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Hume,27493
APT,https://en.wikipedia.org/wiki/List_of_programming_languages,language,APT,27142
ION,http://www.userbenchmark.com/resources/download/csv/GPU_UserBenchmarks.csv,graphicscard,ION,27078
Ethernet,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol,Ethernet,26371
LIL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,LIL,26323
Limbo,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Limbo,25659
Bluetooth,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol,Bluetooth,25514
Integer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Integer,25232
DYNAMO,https://en.wikipedia.org/wiki/List_of_programming_languages,language,DYNAMO,25212
SALSA,https://en.wikipedia.org/wiki/List_of_programming_languages,language,SALSA,24414
JADE,https://en.wikipedia.org/wiki/List_of_programming_languages,language,JADE,24291
JADE,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,JADE,24291
Racket,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Racket,23415
Racket,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Racket,23415
BLISS,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,BLISS,23039
MIMIC,https://en.wikipedia.org/wiki/List_of_programming_languages,language,MIMIC,22836
Rust,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Rust,21364
Rust,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Rust,21364
TeX,https://en.wikipedia.org/wiki/List_of_programming_languages,language,TeX,21316
TEX,https://en.wikipedia.org/wiki/List_of_programming_languages,language,TEX,21316
Converge,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Converge,20035
Bash,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Bash,19978
Bash,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Bash,19978
RSA,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,RSA,19894
CPL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,CPL,18872
Dart,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Dart,18674
Ch,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Ch,18636
PHP,https://en.wikipedia.org/wiki/List_of_programming_languages,language,PHP,18530
PHP,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,PHP,18530
Ada,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Ada,18490
Ada,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Ada,18490
Hack,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Hack,18487
FL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,FL,18147
rc,https://en.wikipedia.org/wiki/List_of_programming_languages,language,rc,18032
Perl,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Perl,18021
Perl,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Perl,18021
Euphoria,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Euphoria,17997
Euphoria,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Euphoria,17997
Elm,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Elm,17937
Ceylon,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Ceylon,17810
JavaScript,https://en.wikipedia.org/wiki/List_of_programming_languages,language,JavaScript,17780
JavaScript,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,JavaScript,17780
Apex (Salesforce.com),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Apex,17465
TAL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,TAL,16639
Squirrel,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Squirrel,16399
Hermes,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Hermes,16152
LSE,https://en.wikipedia.org/wiki/List_of_programming_languages,language,LSE,15977
Lazarus,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,pascal,Lazarus,15072
Lynx,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lynx,14941
Scala,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Scala,14839
Scala,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Scala,14839
Haskell,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Haskell,14706
Haskell,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Haskell,14706
Eiffel,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Eiffel,14168
Eiffel,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Eiffel,14168
LaTeX,https://en.wikipedia.org/wiki/List_of_programming_languages,language,LaTeX,13341
Turing,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Turing,13128
Panorama,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Panorama,12984
RPG,https://en.wikipedia.org/wiki/List_of_programming_languages,language,RPG,12888
RPG,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,RPG,12888
XL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,XL,12263
XL,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,XL,12263
"Windows NT (Full 32-bit or 64-bit kernel, not dependent on MS-DOS)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Windows NT,12249
ASCII,https://en.wikipedia.org/wiki/Character_encoding,encoding,ASCII,12005
M4,https://en.wikipedia.org/wiki/List_of_programming_languages,language,M4,11777
Flex,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Flex,11710
"Unicode (and subsets thereof, such as the 16-bit 'Basic Multilingual Plane')",https://en.wikipedia.org/wiki/Character_encoding,encoding,Unicode,11646
Argus,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Argus,11633
Rhapsody,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Rhapsody,11516
Windows Vista (Windows NT 6.0),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Windows Vista,11388
Janus (concurrent constraint programming language),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Janus,11237
Janus (time-reversible computing programming language),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Janus,11237
Clipper,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Clipper,10823
SIFT,https://en.wikipedia.org/wiki/List_of_algorithms,dsp-algo,SIFT,10805
ALF,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ALF,10783
Idris,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Idris,10588
Boo,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Boo,10361
Boo,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Boo,10361
ICI,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ICI,10228
Padre,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,perl,Padre,9957
JAL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,JAL,9796
RISC OS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,RISC OS,9726
Groovy,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Groovy,9660
Groovy,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Groovy,9660
Boolean,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Boolean,9369
Copland,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Copland,9235
Lucid,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lucid,9219
ELAN,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ELAN,9179
Nu,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Nu,9073
MySQL,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,MySQL,9021
Shading,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,Shading,8567
"Windows Mobile (based on Windows CE, but for a smaller form factor)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Windows Mobile,8561
Fortuna,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,Fortuna,8493
Octave,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Octave,8470
Pico,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Pico,8445
MOO,https://en.wikipedia.org/wiki/List_of_programming_languages,language,MOO,8390
Clarion,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Clarion,8267
Clarion,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Clarion,8267
Clarion,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Clarion,8267
iOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,iOS,8132
DSA,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,DSA,8091
IPL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,IPL,7894
IPL,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,IPL,7894
Fortran,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Fortran,7841
Subtext,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Subtext,7784
CL (IBM),https://en.wikipedia.org/wiki/List_of_programming_languages,language,CL,7658
Euclid,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Euclid,7472
Magma,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Magma,7426
A/ROSE,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,A/ROSE,7326
Euler,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Euler,7320
CSP,https://en.wikipedia.org/wiki/List_of_programming_languages,language,CSP,7160
Cg,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Cg,7055
Pagoda,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Pagoda,7050
H2,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,H2,6936
Opal,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Opal,6867
S2,https://en.wikipedia.org/wiki/List_of_programming_languages,language,S2,6853
"MS-DOS (developed jointly with IBM, versions 1.0–6.22)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,MS-DOS,6805
G2,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,G2,6706
Frida,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software,Frida,6636
Visual Basic,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Visual Basic,6458
Visual Basic,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Visual Basic,6458
SLIME(Emacs),https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,lisp,SLIME,6330
S3,https://en.wikipedia.org/wiki/List_of_programming_languages,language,S3,6307
Lingo,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lingo,6215
Cayenne,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Cayenne,5938
Firebird,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Firebird,5935
JOVIAL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,JOVIAL,5927
Sather,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Sather,5800
SPS,https://en.wikipedia.org/wiki/List_of_programming_languages,language,SPS,5784
ATS,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ATS,5655
PostScript,https://en.wikipedia.org/wiki/List_of_programming_languages,language,PostScript,5576
Zeno,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Zeno,5408
Io,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Io,5380
Io,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Io,5380
RSL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,RSL,5340
NPL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,NPL,4937
HAGGIS,https://en.wikipedia.org/wiki/List_of_programming_languages,language,HAGGIS,4724
Maxima (see also Macsyma),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Maxima,4667
Visual Studio,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,d,Visual Studio,4609
Visual Studio,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,javascript,Visual Studio,4609
IDL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,IDL,4588
MUMPS,https://en.wikipedia.org/wiki/List_of_programming_languages,language,MUMPS,4552
MUMPS (M),https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,MUMPS,4552
FP,https://en.wikipedia.org/wiki/List_of_programming_languages,language,FP,4522
FP,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,FP,4522
MOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,MOS,4500
Floating-point,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Floating-point,4492
Oberon,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Oberon,4421
Oberon,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Oberon,4421
Bitmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bitmap,4410
Singularity,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Singularity,4377
Trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Trie,4318
Lisp,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Lisp,4287
Solidity,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Solidity,4268
PPL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,PPL,4204
LPC,https://en.wikipedia.org/wiki/List_of_programming_languages,language,LPC,4157
OpenGL,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OpenGL,4149
Squeak,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Squeak,4145
BlooP,https://en.wikipedia.org/wiki/List_of_programming_languages,language,BlooP,4131
APL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,APL,4085
APL,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,APL,4085
Oriel,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Oriel,3920
Lithe,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lithe,3916
Babbage,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Babbage,3904
ANSEL,https://en.wikipedia.org/wiki/Character_encoding,encoding,ANSEL,3764
Apple Macintosh,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Apple Macintosh,3692
Elixir,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Elixir,3663
Elixir,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Elixir,3663
Sed,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Sed,3576
PageRank,https://en.wikipedia.org/wiki/List_of_algorithms,combinatorial-algo,PageRank,3403
Apple TV,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Apple TV,3301
Lustre,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lustre,3257
Prolog,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Prolog,3249
Prolog,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Prolog,3249
Agora,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Agora,3224
Tcl,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Tcl,3197
Tcl,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Tcl,3197
"Windows CE (OS for handhelds, embedded devices, and real-time applications that is similar to other versions of Windows)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,Windows CE,3184
Ingres,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Ingres,3166
Draco,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Draco,3127
Neural Network,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,Neural Network,3116
Mathematica,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Mathematica,3014
Mathematica,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Mathematica,3014
XC (exploits XMOS architecture),https://en.wikipedia.org/wiki/List_of_programming_languages,language,XC,2998
OGRE,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OGRE,2965
Spyder,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,python,Spyder,2953
PDL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,PDL,2916
Escher,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Escher,2906
IMP,https://en.wikipedia.org/wiki/List_of_programming_languages,language,IMP,2897
Informix,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Informix,2857
LIS,https://en.wikipedia.org/wiki/List_of_programming_languages,language,LIS,2790
ACT-III,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ACT-III,2739
Polyhedra,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Polyhedra,2635
Frege,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Frege,2501
NTFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,NTFS,2496
E6,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol,E6,2487
Blowfish,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,Blowfish,2470
PostgreSQL,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,PostgreSQL,2465
"VMS (originally by DEC and HP now by VMS Software Inc.) for the VAX mini-computer range, Alpha and Intel Itanium i2 and i4; later renamed OpenVMS)",https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,VMS,2413
MATLAB,https://en.wikipedia.org/wiki/List_of_programming_languages,language,MATLAB,2405
MATLAB,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,MATLAB,2405
Machine code,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Machine code,2404
Lua,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lua,2385
Lua,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Lua,2385
Halide (programming language),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Halide,2364
SPX,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol,SPX,2322
Microsoft Access,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Microsoft Access,2277
Gödel,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Gödel,2271
TypeScript,https://en.wikipedia.org/wiki/List_of_programming_languages,language,TypeScript,2270
UTF-8,https://en.wikipedia.org/wiki/Character_encoding,encoding,UTF-8,2237
macOS (formerly Mac OS X and OS X),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,macOS,2230
Lasso,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Lasso,2198
TECO,https://en.wikipedia.org/wiki/List_of_programming_languages,language,TECO,2160
USG,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,USG,2090
Multimap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Multimap,2011
Assembly language,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Assembly language,1983
Assembly language,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Assembly language,1983
Toi,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Toi,1973
GDL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,GDL,1893
Smalltalk,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Smalltalk,1892
Smalltalk,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Smalltalk,1892
Wyvern,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Wyvern,1888
Leda,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Leda,1879
PCF,https://en.wikipedia.org/wiki/List_of_programming_languages,language,PCF,1826
Axum,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Axum,1818
MDL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,MDL,1808
Microsoft SQL Server,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Microsoft SQL Server,1785
Neko,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Neko,1737
GJ,https://en.wikipedia.org/wiki/List_of_programming_languages,language,GJ,1717
AmigaOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,AmigaOS,1709
Local search,https://en.wikipedia.org/wiki/List_of_algorithms,math-algo,Local search,1651
COBOL,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,COBOL,1630
MSL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,MSL,1595
Trac,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Trac,1581
Etoys,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Etoys,1551
Nim,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Nim,1542
Nim,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Nim,1542
MPD,https://en.wikipedia.org/wiki/List_of_programming_languages,language,MPD,1530
ROOP,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ROOP,1527
SML,https://en.wikipedia.org/wiki/List_of_programming_languages,language,SML,1521
SISAL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,SISAL,1504
X10,https://en.wikipedia.org/wiki/List_of_programming_languages,language,X10,1488
HP-UX,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,HP-UX,1456
Mathcad,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Mathcad,1442
Joule,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Joule,1427
EPL (Easy Programming Language),https://en.wikipedia.org/wiki/List_of_programming_languages,language,EPL,1422
Coq,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Coq,1406
Magik,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Magik,1404
Orc,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Orc,1367
ColdFusion,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ColdFusion,1363
ColdFusion(CFML),https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,ColdFusion,1363
Hopscotch,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Hopscotch,1321
ActionScript,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ActionScript,1313
Garbage collectors,https://en.wikipedia.org/wiki/List_of_algorithms,ds-algo,Garbage collectors,1305
MARK-IV (now VISION:BUILDER),https://en.wikipedia.org/wiki/List_of_programming_languages,language,MARK-IV,1279
VHDL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,VHDL,1247
Adenine,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Adenine,1232
Common Lisp (also known as CL),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Common Lisp,1197
Common Lisp,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Common Lisp,1197
occam,https://en.wikipedia.org/wiki/List_of_programming_languages,language,occam,1189
Occam,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Occam,1189
Epigram,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Epigram,1170
DCL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,DCL,1169
BeOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem,BeOS,1166
LINC,https://en.wikipedia.org/wiki/List_of_programming_languages,language,LINC,1152
FoxPro,https://en.wikipedia.org/wiki/List_of_programming_languages,language,FoxPro,1133
MD5,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,MD5,1131
PL/SQL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,PL/SQL,1127
Hash Function,https://en.wikipedia.org/wiki/List_of_algorithms,se-algo,Hash Function,1126
Vala,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Vala,1123
Line Drawing,https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,Line Drawing,1072
Genetic algorithms,https://en.wikipedia.org/wiki/List_of_algorithms,math-algo,Genetic algorithms,1029
Alef,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Alef,1019
Direct3D (a subset of DirectX),https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Direct3D,994
Opa,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Opa,977
Video compression,https://en.wikipedia.org/wiki/List_of_algorithms,coding-theory-algo,Video compression,972
